City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-10-28 21:05:15,-23.1203,-134.9692,75.49,80,81,17.65
1,Sur,OM,2021-10-28 21:06:41,22.5667,59.5289,77.5,67,0,2.51
2,Petropavlovsk-Kamchatskiy,RU,2021-10-28 21:03:19,53.0452,158.6483,30.79,93,75,4.47
3,Mata De Sao Joao,BR,2021-10-28 21:06:42,-12.5303,-38.2992,73.15,86,6,4.45
4,Requena,ES,2021-10-28 21:06:42,39.4883,-1.1004,55.71,88,95,2.44
5,Punta Arenas,CL,2021-10-28 21:04:51,-53.15,-70.9167,60.91,51,90,20.71
6,Yellowknife,CA,2021-10-28 21:06:42,62.456,-114.3525,36.41,99,100,2.62
7,Constitucion,CL,2021-10-28 21:06:43,-35.3333,-72.4167,64.98,59,10,17.0
8,Kapaa,US,2021-10-28 21:06:43,22.0752,-159.319,82.38,89,75,3.0
9,Jamestown,US,2021-10-28 21:03:58,42.097,-79.2353,64.04,59,1,8.05
10,Clyde River,CA,2021-10-28 21:06:44,70.4692,-68.5914,29.84,95,100,4.54
11,Victoria,HK,2021-10-28 21:05:03,22.2855,114.1577,77.38,88,84,1.99
12,Manicore,BR,2021-10-28 21:06:44,-5.8092,-61.3003,83.5,74,96,3.18
13,Vanavara,RU,2021-10-28 21:06:44,60.34,102.2797,18.63,80,9,4.85
14,Qaanaaq,GL,2021-10-28 21:05:17,77.484,-69.3632,20.7,90,100,7.02
15,Bluff,NZ,2021-10-28 21:05:19,-46.6,168.3333,57.0,84,51,4.99
16,Mar Del Plata,AR,2021-10-28 21:02:40,-38.0023,-57.5575,67.87,84,100,18.01
17,Busselton,AU,2021-10-28 21:05:29,-33.65,115.3333,45.86,83,50,7.85
18,Chuy,UY,2021-10-28 21:05:28,-33.6971,-53.4616,70.18,70,0,10.51
19,Marsa Matruh,EG,2021-10-28 21:06:45,31.3525,27.2453,71.64,83,2,6.6
20,Paamiut,GL,2021-10-28 21:06:46,61.994,-49.6678,33.28,72,100,17.54
21,Cabinda,AO,2021-10-28 21:06:46,-5.55,12.2,76.59,82,30,8.43
22,Shaunavon,CA,2021-10-28 21:06:46,49.6501,-108.4181,50.88,28,29,10.13
23,Tuktoyaktuk,CA,2021-10-28 21:03:17,69.4541,-133.0374,28.4,93,90,5.75
24,Sanandaj,IR,2021-10-28 21:06:47,35.3144,46.9923,55.22,40,53,3.65
25,Miraflores,MX,2021-10-28 21:06:47,19.2167,-98.8083,73.02,58,72,3.31
26,Hutchinson,US,2021-10-28 21:06:48,38.0608,-97.9298,62.19,37,6,7.0
27,Lambarene,GA,2021-10-28 21:06:48,-0.7001,10.2406,74.55,96,79,2.59
28,Namatanai,PG,2021-10-28 21:06:48,-3.6667,152.4333,82.47,75,95,5.79
29,Albany,US,2021-10-28 21:06:49,42.6001,-73.9662,57.81,74,0,2.35
30,Khakhea,BW,2021-10-28 21:06:49,-24.6895,23.494,64.85,74,73,5.17
31,Banting,MY,2021-10-28 21:06:49,2.8167,101.5,79.56,89,100,3.24
32,Labuhan,ID,2021-10-28 21:06:50,-6.8844,112.2051,79.39,84,100,6.44
33,Vaini,TO,2021-10-28 21:05:30,-21.2,-175.2,78.96,78,75,9.22
34,Suba,PH,2021-10-28 21:06:50,10.8438,121.0102,83.17,75,100,20.74
35,Kilindoni,TZ,2021-10-28 21:06:51,-7.9139,39.6668,79.2,79,14,11.86
36,Nanortalik,GL,2021-10-28 21:06:51,60.1432,-45.2371,36.07,72,86,3.71
37,Butaritari,KI,2021-10-28 21:06:52,3.0707,172.7902,81.95,70,6,11.14
38,Neringa,LT,2021-10-28 21:06:52,55.3719,21.0647,51.87,90,95,13.42
39,Georgetown,MY,2021-10-28 21:06:52,5.4112,100.3354,78.73,90,20,3.44
40,Saldanha,ZA,2021-10-28 21:06:53,-33.0117,17.9442,59.25,92,5,12.53
41,Rawson,AR,2021-10-28 21:06:53,-43.3002,-65.1023,64.83,49,13,11.21
42,Dikson,RU,2021-10-28 21:05:24,73.5069,80.5464,8.67,92,100,9.48
43,Sakata,JP,2021-10-28 21:06:54,38.9167,139.855,55.17,65,100,12.68
44,Oriximina,BR,2021-10-28 21:06:54,-1.7656,-55.8661,87.1,55,25,3.13
45,Lensk,RU,2021-10-28 21:07:54,60.7253,114.9278,21.94,74,100,14.56
46,Hobart,AU,2021-10-28 21:05:28,-42.8794,147.3294,48.06,93,75,5.01
47,Barrow,US,2021-10-28 21:05:22,71.2906,-156.7887,21.22,86,90,13.8
48,Chokurdakh,RU,2021-10-28 21:07:55,70.6333,147.9167,-10.37,97,94,4.07
49,Ranong,TH,2021-10-28 21:07:55,9.9658,98.6348,77.31,91,92,5.28
50,Iwaki,JP,2021-10-28 21:07:56,37.05,140.8833,45.01,91,13,1.01
51,Coruripe,BR,2021-10-28 21:07:56,-10.1256,-36.1756,76.75,81,89,9.19
52,Arraial Do Cabo,BR,2021-10-28 21:01:36,-22.9661,-42.0278,72.48,89,100,14.63
53,Teguise,ES,2021-10-28 21:04:43,29.0605,-13.564,66.42,78,20,12.66
54,Matara,LK,2021-10-28 21:07:19,5.9485,80.5353,75.58,94,100,4.5
55,Ikalamavony,MG,2021-10-28 21:07:57,-21.15,46.5833,61.16,75,36,11.68
56,Ushuaia,AR,2021-10-28 21:05:21,-54.8,-68.3,60.46,36,20,13.8
57,Mataura,NZ,2021-10-28 21:05:19,-46.1927,168.8643,60.37,69,19,2.39
