City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Lorengau,PG,82.58,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Kloulklubed,PW,84.31,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
271,Vila Franca Do Campo,PT,71.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
272,Bandarbeyla,SO,77.77,light rain,9.4942,50.8122,JABIR HOTEL
275,Kavieng,PG,83.39,light rain,-2.5744,150.7967,Nusa Island Retreat
282,Alexandria,EG,73.53,overcast clouds,31.2156,29.9553,Royal Crown Hotel
286,Sensuntepeque,SV,82.38,scattered clouds,13.8667,-88.6333,Hotel Las Palmas
288,Ternate,ID,80.91,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
293,Lethem,GY,89.65,few clouds,3.3803,-59.7968,Savannah Inn
294,Faanui,PF,78.75,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
295,Iaciara,BR,79.86,broken clouds,-14.0958,-46.6317,Hotel Matinha
298,Sungairaya,ID,77.86,light rain,0.7,108.9,Mess P.Milu
299,Santiago,CL,85.44,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
300,Florida,US,76.08,overcast clouds,28.7505,-82.5001,Sportsmens Cove
301,Kahului,US,85.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
302,Bequimao,BR,82.72,overcast clouds,-2.4489,-44.7825,Casa Dom Joaquim
304,Morondava,MG,74.25,broken clouds,-20.2833,44.2833,La Case Bambou
307,Matara,LK,76.26,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
308,Barra Do Garcas,BR,74.57,moderate rain,-15.89,-52.2567,Hotel Pousada Tropical
311,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
313,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
316,Tutoia,BR,79.92,overcast clouds,-2.7619,-42.2744,Pousada Guará's
321,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
322,Puerto Quijarro,BO,76.28,light rain,-17.7833,-57.7667,Hotel palance
327,Chiredzi,ZW,70.88,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
331,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
334,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
335,Januaria,BR,80.49,scattered clouds,-15.4833,-44.3667,Hotel Paraguassu
338,Piacabucu,BR,75.13,broken clouds,-10.4056,-36.4344,Piaçabuçu News
342,Wates,ID,75.74,overcast clouds,-8.1326,111.9541,Nur lailiyah
343,Kavaratti,IN,81.88,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
345,Lucea,JM,80.46,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
351,Sechura,PE,73.83,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
353,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
355,Pundaguitan,PH,81.9,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
360,Kiunga,PG,74.43,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
362,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,Kulhudhuffushi,MV,81.48,overcast clouds,6.6221,73.07,Haajy Guest House 1
368,Maraba,BR,78.98,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
372,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
373,Ibra,OM,73.13,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
381,Ilhabela,BR,70.09,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
386,Caravelas,BR,73.96,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
387,Buala,SB,84.09,light rain,-8.145,159.5921,Maringe Lagoon Lodge
392,Bonthe,SL,78.71,light rain,7.5264,-12.505,Bonthe Holiday Village
395,Socorro,US,78.1,clear sky,31.6546,-106.3033,guarderia imss papalote
396,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
400,Tomatlan,MX,85.6,scattered clouds,19.9333,-105.25,El Salvial
401,Phuket,TH,86.09,few clouds,8.0,98.25,The Surin
402,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
403,Badarpur,IN,73.98,overcast clouds,24.9,92.6,Rejauls home
405,Araripina,BR,80.64,broken clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
408,Sorong,ID,78.1,overcast clouds,-0.8833,131.25,waigo splash hotel
409,Sipe Sipe,BO,77.49,broken clouds,-17.45,-66.3833,Cabañas Oasis Marino
412,Joao Pinheiro,BR,79.7,overcast clouds,-17.7425,-46.1725,Hotel Santos
423,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
428,Abu Zabad,SD,82.09,scattered clouds,12.35,29.25,حامد محمد نور
429,Puerto Narino,CO,87.75,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
431,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
438,Half Moon Bay,US,81.41,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
445,Byron Bay,AU,81.05,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
447,Pontianak,ID,75.18,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
448,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
450,Xuddur,SO,72.7,few clouds,4.1213,43.8894,Banjanay Hotel
451,Kailua,US,84.07,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
454,Bajil,YE,83.88,clear sky,15.0584,43.2851,فندق حضرموت
455,Paracuru,BR,82.42,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
456,Correntina,BR,82.36,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
458,Tres Arroyos,AR,81.1,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
459,Mazamari,PE,84.72,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
461,Tapejara,BR,80.98,scattered clouds,-28.0681,-52.0139,Hotel Fontana
462,Camalu,MX,75.58,clear sky,30.85,-116.0667,La Cueva del Pirata
468,Elizabeth City,US,73.4,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
474,Havelock,US,70.93,few clouds,34.8791,-76.9013,Sherwood Motel
477,Omboue,GA,77.31,overcast clouds,-1.5746,9.2618,Hotel Olako
481,Moerai,PF,72.34,few clouds,-22.4333,-151.3333,Le Manotel
482,Bengkulu,ID,75.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
485,Benguela,AO,75.74,light rain,-12.5763,13.4055,Hotel Praia Morena
493,Guerrero Negro,MX,79.81,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
494,Bambanglipuro,ID,77.16,moderate rain,-7.95,110.2833,Puri Brata
501,North Platte,US,70.0,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
504,Alitagtag,PH,74.7,few clouds,13.8645,121.0041,Ataalaya Farmhouse
505,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
508,Bontang,ID,77.7,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
509,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
510,Mozarlandia,BR,86.02,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
515,Baringo,KE,75.79,overcast clouds,0.4667,35.9667,Khoisang Hostels
516,Port Blair,IN,80.96,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
517,Sambava,MG,72.79,light rain,-14.2667,50.1667,Melrose
519,Rock Sound,BS,82.44,overcast clouds,24.9,-76.2,Rock Sound Club
524,Lompoc,US,84.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
526,Paita,PE,72.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
527,Perbaungan,ID,78.91,overcast clouds,3.5679,98.956,Bendang Lama
528,Taveta,KE,74.79,broken clouds,-3.3963,37.6736,Challa Hotel
529,Kyaukse,MM,73.56,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
530,Cabay,PH,75.18,scattered clouds,13.8783,121.3772,Dreamland Resort Batangas
531,Muli,MV,82.0,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
534,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
535,Daru,PG,83.52,overcast clouds,-9.0763,143.2092,Daru Lodge
536,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,Hospedaje madero
537,Sassandra,CI,76.42,overcast clouds,4.95,-6.0833,la terrasse
538,Orizona,BR,77.88,broken clouds,-17.0314,-48.2958,Hotel Carvalhos
540,Labuhan,ID,79.68,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
541,Panlaitan,PH,82.18,few clouds,12.1191,119.8486,Panlaitan Cetro Beach
542,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
546,Kieta,PG,84.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
549,Peniche,PT,70.09,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
553,Poum,NC,76.14,clear sky,-20.2333,164.0167,Gîte kajeon
555,Virginia Beach,US,73.47,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
561,Sao Felix Do Xingu,BR,83.48,broken clouds,-6.6447,-51.995,Rio Xingu Camping
562,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
564,Laje,BR,79.14,overcast clouds,-10.1833,-40.9667,NN Pousada
565,Palauig,PH,78.55,clear sky,15.435,119.9045,Alperi Botique Resort
571,Sitio Novo Do Tocantins,BR,81.28,broken clouds,-5.5183,-47.4611,Imperial Hotel
576,Gat,IL,74.39,overcast clouds,31.61,34.7642,OlusHome
577,San Ramon,US,79.92,clear sky,37.7799,-121.978,San Ramon Marriott
579,Moctezuma,MX,88.66,clear sky,29.8,-109.6667,Hotel Lobohombo
583,Diamantino,BR,78.87,light rain,-14.4086,-56.4461,Hotel Delta
585,Santa Ines,BR,77.61,overcast clouds,-3.6667,-45.38,Palace hotel
586,Caucaia,BR,82.35,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
592,Oriximina,BR,82.29,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
595,Manggar,ID,79.79,overcast clouds,-2.8833,108.2667,Guest Hotel
598,Belize,BZ,85.23,overcast clouds,17.25,-88.75,Villa San Juan
599,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
609,Ballina,AU,79.79,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
610,Puerto Cabezas,NI,84.16,drizzle,14.0351,-83.3888,Cabaña Caribe
612,Kuna,US,73.4,clear sky,43.4918,-116.4201,Winfield Springs
613,Vinh,VN,72.48,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
615,Coihueco,CL,77.74,clear sky,-36.6167,-71.8333,Frutillares Coihueco
618,Nishihara,JP,70.88,few clouds,26.1842,127.7558,Minshuku Agaihama
619,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
620,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
621,Ojinaga,MX,81.41,clear sky,29.5667,-104.4167,Suites Las Palmas
625,Cap Malheureux,MU,72.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
631,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
634,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
640,Pando,UY,84.6,clear sky,-34.7167,-55.95,viviendas mvotma
645,Isla Mujeres,MX,82.45,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
649,Payo,ID,74.07,overcast clouds,-3.7508,103.6372,Mess keban agung
651,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
653,Yarada,IN,79.12,thunderstorm,17.65,83.2667,Vishranti
658,Epe,NG,77.58,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
