City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Karasjok,NO,69.4719,25.5112,35.71,90,27,9.95,scattered clouds
79,Tasiilaq,GL,65.6145,-37.6368,26.76,75,84,5.39,broken clouds
80,Boende,CD,-0.2167,20.8667,69.33,99,99,1.05,overcast clouds
81,Dali,CN,25.7,100.1833,53.17,91,1,2.91,clear sky
82,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,13.8,clear sky
83,Waingapu,ID,-9.6567,120.2641,79.93,82,93,3.51,overcast clouds
84,Havoysund,NO,70.9963,24.6622,38.28,66,100,34.83,overcast clouds
85,San Patricio,US,28.017,-97.5169,82.92,14,0,18.52,clear sky
86,Hutang,CN,31.5333,119.4833,51.93,82,63,1.52,light rain
87,Sovetskiy,RU,61.3614,63.5842,19.06,74,7,9.95,clear sky
88,Dikson,RU,73.5069,80.5464,3.33,88,100,17.38,overcast clouds
89,Longyearbyen,SJ,78.2186,15.6401,26.44,68,20,14.97,few clouds
90,Aklavik,CA,68.2191,-135.0107,25.63,93,100,0.78,overcast clouds
91,Gourcy,BF,13.2167,-2.35,88.29,36,68,4.92,broken clouds
92,Cherskiy,RU,68.75,161.3,-19.88,99,99,1.66,overcast clouds
93,College,US,64.8569,-147.8028,20.21,90,90,4.61,overcast clouds
94,Impfondo,CG,1.6381,18.0667,71.08,98,99,2.17,overcast clouds
95,Ozernovskiy,RU,51.5,156.5167,41.47,87,100,9.8,overcast clouds
96,Lewisporte,CA,49.2499,-55.0482,40.14,90,6,5.1,clear sky
97,Hilo,US,19.7297,-155.09,79.25,70,40,8.05,scattered clouds
98,Kuito,AO,-12.3833,16.9333,61.36,86,90,3.31,light rain
99,Khatanga,RU,71.9667,102.5,3.2,84,100,10.0,overcast clouds
100,Solnechnyy,RU,50.7214,136.6319,33.03,81,98,2.84,overcast clouds
101,Pevek,RU,69.7008,170.3133,-2.16,95,98,3.6,overcast clouds
102,Ust-Kuyga,RU,70.0167,135.6,9.82,97,100,2.98,overcast clouds
103,Lyubech,UA,51.7026,30.6569,46.06,92,5,7.2,clear sky
104,Dunedin,NZ,-45.8742,170.5036,54.84,91,89,13.35,overcast clouds
105,Tuatapere,NZ,-46.1333,167.6833,59.94,64,95,6.42,overcast clouds
106,Thompson,CA,55.7435,-97.8558,42.96,75,75,6.91,broken clouds
107,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,25,20,25.32,few clouds
108,Novikovo,RU,51.1537,37.8879,40.82,84,8,4.05,clear sky
109,Dossor,KZ,47.5272,52.9811,49.66,56,100,5.86,overcast clouds
110,Pavilosta,LV,56.8879,21.1859,46.31,76,70,13.56,broken clouds
111,Port Elizabeth,ZA,-33.918,25.5701,58.1,79,21,9.15,few clouds
112,Borogontsy,RU,62.6683,131.1683,7.36,98,94,5.73,overcast clouds
113,Bardiyah,LY,31.7561,25.0865,71.55,74,99,5.88,overcast clouds
114,Bryan,US,30.6744,-96.37,73.49,23,1,19.57,clear sky
115,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,0,5.99,clear sky
116,Colares,PT,38.7992,-9.4469,69.33,82,100,3.0,overcast clouds
117,Prestea,GH,5.4327,-2.1428,74.82,95,98,2.91,light rain
118,Lavrentiya,RU,65.5833,-171.0,14.74,80,100,4.16,overcast clouds
119,Quelimane,MZ,-17.8786,36.8883,69.17,69,39,4.47,scattered clouds
120,Narsaq,GL,60.9167,-46.05,26.82,79,86,4.38,overcast clouds
121,Komsomolskiy,UZ,40.4272,71.7189,44.02,75,2,6.91,clear sky
122,Butembo,CD,0.15,29.2833,58.14,96,97,2.3,light rain
